"course_custom_id","course_name","course_numberOfDaysPerWeek","course_numberOfWeeks","course_subjects","course_gradeYears","course_defaultDaysOfTheWeek","course_gradingStyle","course_color","course_picture","course_credits","course_description","course_introduction"
"alveary-recYjmR1fkRboUm8D","Art History","2","36","Art","[]","{, 'monday': False, 'tuesday': True, 'wednesday': False, 'thursday': True, 'friday': False, }","UNGRADED","","","","<p>This is a High School elective course. Students study Art History through hands-on projects. Each term will focus on a different breadth of history and the art that was important to that time, bringing together and putting in chronological order many of the art pieces we have studied during Picture Study. Each term, students will be assigned four to six projects based on the history they are surveying. The projects will range from sculpture to fresco to abstract painting. Students will need a variety of art materials on hand to successfully complete this course.</p>","<p>Art History<br>This course assumes the student has been through several years of Art levels and handicrafts, as well as Lettering. While this course is beneficial to all students, regardless of their past with the Alveary, students who have been with the program longer will find it easier to understand the references and concepts. This course is geared towards the High School student as an elective after having gone through all of the Art Instruction Levels. There is also an assumption of independent learning and abilities, such as the freedom to use an X-Acto or utility knife.</p>"
"alveary-recCjt5GENqEs1b6a","Bible Stories","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>This course uses Bible stories to introduce children to the beauty and flow of Scripture.</p><p>This topic is included in the following course(s): Bible: Grade 1</p>","<p>Bible Stories<br>☐ Read the Introduction to Hurlbut's Story of the Bible.</p><p>☐ Look at the links page to see if there are pictures you wish to print prior to the year.</p>"
"alveary-recrd4Jjfp6KhJasl","Church History: Grades 1-3","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each year in elementary grades, students read biographies of influential people from church history. This course features the stories of Christians from Alveary's modern history rotation for the years (1800-1900). The selections in these grades are chosen for their accessibility for younger students to learn about the lives and ministries of great men and women of faith.</p><p>This topic is included in the following course(s): Bible: Grade 1, Bible: Grade 2, Bible: Grade 3</p>",""
"alveary-rec6wnEhawnLo3GTm","Old Testament: Grade 2","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>When students are young, we want them to come to know God through his stories. In Grade 2, students read the stories directly from the Bible, which they were introduced to in Grade 1. Lesson plans also include occasional artwork illustrating the story read and suggested prep selections for teachers from resources such as the Bible Story Handbook, which provides biblical context, helps with interpretational issues, and points out mistakes to avoid when reading specific Bible passages.</p><p>This topic is included in the following course(s): Bible: Grade 2</p>","<p>Old Testament: Grade 2<br>☐ Read the introduction (p.13-30) in The Bible Story Handbook that includes the following sections: &quot;Why Do We Teach Bible Stories?&quot;, &quot;Is There a Right Way or a Wrong Way to Use Bible Stories?&quot; &amp; &quot;The Big Picture of the Bible.&quot;</p><p>☐ Watch Dr. John Walton's video about using the Handbook. The link can be found in Quick Links below.</p><p>☐ You may want to watch the overview videos from The Bible Project on Genesis, Exodus, Joshua, Judges, 1 Kings, Esther, Daniel, and Jonah. They help you see the major themes from the different Bible books. The link can be found in Quick Links below.</p>"
"alveary-rec2eKQ8PTSSbvqOe","New Testament: Grade 2","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>New Testament events from the life of Christ are read throughout the year, with beautiful artwork and teacher helps periodically included in the lesson plans to enrich and give context to the stories covered.</p><p>This topic is included in the following course(s): Bible: Grade 2</p>","<p>New Testament: Grade 2<br>☐ Read the introduction (p.13-30) in The Bible Story Handbook that includes the following sections: &quot;Why Do We Teach Bible Stories?&quot;, &quot;Is There a Right Way or a Wrong Way to Use Bible Stories?&quot; &amp; &quot;The Big Picture of the Bible.&quot;</p><p>☐ Watch Dr. John Walton's video about using the Handbook. The link can be found in Quick Links.</p>"
"alveary-recyDETWFIqaxfz3x","Old Testament: Grades 3-6","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students in Grades 3-6 read Old Testament narratives chronologically. For 2026-2027 students read selections of Joshua, Judges, Ruth, and  1-2 Samuel. Lesson plans also include selections from maps and books such as The New Manners and Customs of Bible Times, which teachers can read or share with their students to help understand the biblical context and gain insight into the culture and geography of Israel.</p><p>This topic is included in the following course(s): Bible: Grade 3, Bible: Grades 4-6</p>",""
"alveary-recr2688p8npaWI6Y","New Testament: Grades 3-6","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each year, students in Grades 3-6 read one of the gospels. For 2026-2027 they read John. Lesson plans include map work and assigned selections of The New Manners and Customs of Bible Times for teachers to read with their students before or after Bible reading to help give context and insight into the culture and geography of Israel during Jesus' life.</p><p>This topic is included in the following course(s): Bible: Grade 3, Bible: Grades 4-6</p>",""
"alveary-recHEGy5eeotD36ZA","Church History: Grades 4-6","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each year in elementary grades, students read biographies of influential people from church history. This course features the stories of Christians from Alveary's modern history rotation for the years (1800-1900).</p><p>This topic is included in the following course(s): Bible: Grades 4-6</p>",""
"alveary-rec7uZOhGTkCcJ1MV","Old Testament: Grades 7-12","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>From 7th grade through high school, students read through the OT chronologically. For 2026-2027 they read 2 Samuel-I Kings, 1 &amp; 2 Chronicles, Psalms and Proverbs (selections) and Ecclesiastes. 12th grade will also read Song of Solomon. With the aid of study Bible notes and selections from study helps such as the Old Testament Today or The Bible Project, this course allows students to meditate on Scripture and engage with the historical and cultural context of the Bible when it was written, as well as the way the OT continues to be relevant as God's word today.</p><p>This topic is included in the following course(s): Bible: Grades 7-8, Bible: Grade 9, Bible: Grades 10-11, Bible: Grade 12</p>","<p>Bible: Grade 12<br>☐ Make or purchase Bible journals for Old and New Testament studies (see some suggestions in the following course Extra Helpings: Bible: Grades 7-8, 9, 10-11, and 12).</p>"
"alveary-recx8oy8TfLy5X1cD","New Testament: Grades 7-8","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students read through the book of Acts over the year. Additional study helps assigned in the lesson plans provide background information and context to help students begin to dive deeper into the life, ministry, and message of the early church.</p><p>This topic is included in the following course(s): Bible: Grades 7-8</p>",""
"alveary-reckBY6n4BStSljpd","Church History: Grades 7-9","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Students read about important events and influential people from Church History using biographies and narrative-driven overviews of the time period. In this course, students delve into the 19th century and learn the stories of a variety of Christians.</p><p>This topic is included in the following course(s): Bible: Grades 7-8, Bible: Grade 9</p>",""
"alveary-recExExdfIdNRyBus","Spiritual Formation: Grades 7-8","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Spiritual formation courses help students think more deeply about various topics in the Christian life such as prayer, studying the Bible, and other spiritual disciplines.</p><p>This topic is included in the following course(s): Bible: Grades 7-8</p>",""
"alveary-recoMhQxH5fSajKtj","New Testament: Grade 9","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each year in High School, students read one of the gospels along with several other New Testament epistles. For 2026-2027, they read the gospel of Luke along with Galatians, Philippians, and Colossians. Using their study Bibles and other resources, students encounter scripture and seek to understand the cultural, historical, and theological context of their readings in order to more deeply appreciate the richness of the Bible and the humility needed in order to live out God's word today.</p><p>This topic is included in the following course(s): Bible: Grade 9</p>",""
"alveary-recdHlNASa21NJDa3","Bible History: Grade 9","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>This course uses the book God's Big Picture to give students a zoomed-out view of Bible history and show the outline of God's Kingdom plan from beginning to end.</p><p>This topic is included in the following course(s): Bible: Grade 9</p>","<p>Bible History: Grade 9<br>Check the Extra Helpings for grades 9-12 resources for devotional reading, Sunday reading, seasonal reading, and more.</p>"
"alveary-recuWVN8k8i8H6CMD","New Testament: Grades 10-11","5","36","Bible","[]","{, 'monday': True, 'tuesday': True, 'wednesday': True, 'thursday': True, 'friday': True, }","UNGRADED","","","","<p>Each year in High School, students read one of the gospels along with several other New Testament epistles. For 2026-2027 they read the gospel of Luke along with 1-2 Timothy, Titus, Philemon, James, 1-2 Peter, 1-3 John, and Jude. Using their study Bibles and other resources, students encounter scripture and seek to understand the cultural, historical, and theological context of their readings in order to more deeply appreciate the richness of the Bible and the humility needed in order to live out God's word today.</p><p>This topic is included in the following course(s): Bible: Grades 10-11</p>",""
